ID;LAT;LNG;BANCO;RED;DOM_ORIG;DOM_GEO;TERMINALES;WEB;ACTUALIZAC;DOM_NORMA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
60;-34,62143028423516;-58,416684615892642;BANCO SUPERVIELLE;BANELCO;AV. BOEDO 729;729 BOEDO AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;BOEDO AV. 729;BOEDO;COMUNA 5;1218;C1218AAD
61;-34,622572290949932;-58,416166166677819;BANCO SANTANDER RIO;BANELCO;AV. BOEDO 802;802 BOEDO AV.;3;HTTP://WWW.BANELCO.COM/;MAR-15;BOEDO AV. 802;BOEDO;COMUNA 5;1218;C1218AAR
62;-34,627742200383814;-58,382659736746831;HSBC ARGENTINA;BANELCO;AV. BRASIL 1199;1199 BRASIL;1;HTTP://WWW.BANELCO.COM/;MAR-15;BRASIL 1199;CONSTITUCION;COMUNA 1;1154;C1154AAS
63;-34,569404930152913;-58,446501307244439;BANCO ITAU;BANELCO;AV. CABILDO 1000;1000 CABILDO AV.;3;HTTP://WWW.BANELCO.COM/;MAR-15;CABILDO AV. 1000;COLEGIALES;COMUNA 13;1426;C1426AAW
64;-34,569199069685084;-58,44687140119953;BANCO SUPERVIELLE;BANELCO;AV. CABILDO 1020;1020 CABILDO AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;CABILDO AV. 1020;COLEGIALES;COMUNA 13;1426;C1426AAX
65;-34,568946119248373;-58,44650747084917;BANCO SANTANDER RIO;BANELCO;AV. CABILDO 1021;1021 CABILDO AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;CABILDO AV. 1021;PALERMO;COMUNA 14;1426;C1426AAK
66;-34,568405866425778;-58,447567301307764;BANCO PATAGONIA;BANELCO;AV. CABILDO 1159;1159 CABILDO AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;CABILDO AV. 1159;PALERMO;COMUNA 14;1426;C1426AAL
67;-34,565427480532129;-58,453995811514915;BBVA-BANCO FRANCES;BANELCO;AV. CABILDO 1732;1732 CABILDO AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;CABILDO AV. 1732;BELGRANO;COMUNA 13;1426;C1426ABR
68;-34,565146639005619;-58,453565961036645;BANCO SANTANDER RIO;BANELCO;AV. CABILDO 1741;1741 CABILDO AV.;3;HTTP://WWW.BANELCO.COM/;MAR-15;CABILDO AV. 1741;BELGRANO;COMUNA 13;1426;C1426ABE
69;-34,565338015386722;-58,454091326677798;ICBC;BANELCO;AV. CABILDO 1750;1750 CABILDO AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;CABILDO AV. 1750;BELGRANO;COMUNA 13;1426;C1426ABR
70;-34,564904406235918;-58,454537717008606;HSBC ARGENTINA;BANELCO;AV. CABILDO 1802;1802 CABILDO AV.;3;HTTP://WWW.BANELCO.COM/;MAR-15;CABILDO AV. 1802;BELGRANO;COMUNA 13;1428;C1428AAN
71;-34,564713820735285;-58,454654330954625;BANCO GALICIA;BANELCO;AV. CABILDO 1828;1828 CABILDO AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;CABILDO AV. 1828;BELGRANO;COMUNA 13;1428;C1428AAN
72;-34,563452285932705;-58,455205637139109;BANCO PATAGONIA;BANELCO;AV. CABILDO 1939;1939 CABILDO AV.;3;HTTP://WWW.BANELCO.COM/;MAR-15;CABILDO AV. 1939;BELGRANO;COMUNA 13;1428;C1428AAB
